{'loss': 0.6931, 'learning_rate': 6.6666666666666675e-06, 'rewards/chosen': 0.0, 'rewards/rejected': 0.0, 'rewards/accuracies': 0.0, 'rewards/margins': 0.0, 'logps/rejected': -172.3125, 'logps/chosen': -104.98149108886719, 'logits/rejected': -111.53292083740234, 'logits/chosen': -110.38957977294922, 'epoch': 0.0}
{'loss': 0.6305, 'learning_rate': 0.0007333333333333333, 'rewards/chosen': -0.43223294615745544, 'rewards/rejected': -0.7235361933708191, 'rewards/accuracies': 0.6000000238418579, 'rewards/margins': 0.29130321741104126, 'logps/rejected': -162.22946166992188, 'logps/chosen': -110.35200500488281, 'logits/rejected': -110.36905670166016, 'logits/chosen': -108.28422546386719, 'epoch': 0.44}
{'loss': 0.7568, 'learning_rate': 0.0008, 'rewards/chosen': -0.9892525672912598, 'rewards/rejected': -1.0781184434890747, 'rewards/accuracies': 0.4749999940395355, 'rewards/margins': 0.08886589109897614, 'logps/rejected': -141.24832153320312, 'logps/chosen': -115.5489730834961, 'logits/rejected': -110.20052337646484, 'logits/chosen': -108.2987060546875, 'epoch': 0.48}
{'loss': 0.6885, 'learning_rate': 0.0008666666666666667, 'rewards/chosen': -0.3696259558200836, 'rewards/rejected': -0.5218574404716492, 'rewards/accuracies': 0.574999988079071, 'rewards/margins': 0.15223154425621033, 'logps/rejected': -153.08230590820312, 'logps/chosen': -97.09590911865234, 'logits/rejected': -108.2259521484375, 'logits/chosen': -107.81097412109375, 'epoch': 0.52}
{'loss': 0.5471, 'learning_rate': 0.0009333333333333333, 'rewards/chosen': -0.611416220664978, 'rewards/rejected': -1.2921302318572998, 'rewards/accuracies': 0.7749999761581421, 'rewards/margins': 0.6807140111923218, 'logps/rejected': -170.31759643554688, 'logps/chosen': -105.74931335449219, 'logits/rejected': -110.0263442993164, 'logits/chosen': -107.15645599365234, 'epoch': 0.56}
{'loss': 0.8421, 'learning_rate': 0.001, 'rewards/chosen': -1.1057074069976807, 'rewards/rejected': -1.2742609977722168, 'rewards/accuracies': 0.574999988079071, 'rewards/margins': 0.16855362057685852, 'logps/rejected': -177.6704559326172, 'logps/chosen': -168.28952026367188, 'logits/rejected': -109.2795181274414, 'logits/chosen': -109.1778564453125, 'epoch': 0.6}
{'loss': 0.7213, 'learning_rate': 0.0009882352941176472, 'rewards/chosen': -0.168650820851326, 'rewards/rejected': -0.18205899000167847, 'rewards/accuracies': 0.5, 'rewards/margins': 0.01340818963944912, 'logps/rejected': -125.10213470458984, 'logps/chosen': -125.33544921875, 'logits/rejected': -108.54948425292969, 'logits/chosen': -110.1045913696289, 'epoch': 0.64}
{'loss': 0.6255, 'learning_rate': 0.0009764705882352941, 'rewards/chosen': -0.09438429772853851, 'rewards/rejected': -0.2744358479976654, 'rewards/accuracies': 0.6499999761581421, 'rewards/margins': 0.18005159497261047, 'logps/rejected': -107.10133361816406, 'logps/chosen': -102.78224182128906, 'logits/rejected': -110.36296081542969, 'logits/chosen': -110.45052337646484, 'epoch': 0.68}
{'loss': 0.6877, 'learning_rate': 0.0009647058823529412, 'rewards/chosen': -0.3444879353046417, 'rewards/rejected': -0.49680179357528687, 'rewards/accuracies': 0.574999988079071, 'rewards/margins': 0.15231385827064514, 'logps/rejected': -150.0317840576172, 'logps/chosen': -137.38076782226562, 'logits/rejected': -109.13230895996094, 'logits/chosen': -108.70462799072266, 'epoch': 0.72}
{'loss': 0.709, 'learning_rate': 0.0009529411764705882, 'rewards/chosen': -0.3045392334461212, 'rewards/rejected': -0.4409702718257904, 'rewards/accuracies': 0.5, 'rewards/margins': 0.13643106818199158, 'logps/rejected': -164.91311645507812, 'logps/chosen': -107.72843170166016, 'logits/rejected': -107.75118255615234, 'logits/chosen': -106.52818298339844, 'epoch': 0.76}
{'loss': 0.623, 'learning_rate': 0.0009411764705882353, 'rewards/chosen': -0.49702414870262146, 'rewards/rejected': -0.8461096882820129, 'rewards/accuracies': 0.625, 'rewards/margins': 0.3490855395793915, 'logps/rejected': -183.83621215820312, 'logps/chosen': -107.12809753417969, 'logits/rejected': -110.08836364746094, 'logits/chosen': -107.80545806884766, 'epoch': 0.8}
{'loss': 0.8092, 'learning_rate': 0.0009294117647058824, 'rewards/chosen': -0.6143900156021118, 'rewards/rejected': -0.5698058009147644, 'rewards/accuracies': 0.6499999761581421, 'rewards/margins': -0.044584136456251144, 'logps/rejected': -117.0644760131836, 'logps/chosen': -112.44161224365234, 'logits/rejected': -105.49552917480469, 'logits/chosen': -105.18858337402344, 'epoch': 0.84}
{'loss': 0.6653, 'learning_rate': 0.0009176470588235294, 'rewards/chosen': -0.5220524072647095, 'rewards/rejected': -0.8371000289916992, 'rewards/accuracies': 0.5249999761581421, 'rewards/margins': 0.3150476813316345, 'logps/rejected': -175.24343872070312, 'logps/chosen': -118.6798095703125, 'logits/rejected': -108.40852355957031, 'logits/chosen': -106.8752212524414, 'epoch': 0.88}
{'loss': 0.6673, 'learning_rate': 0.0009058823529411765, 'rewards/chosen': -0.526924729347229, 'rewards/rejected': -0.7737491726875305, 'rewards/accuracies': 0.6000000238418579, 'rewards/margins': 0.24682435393333435, 'logps/rejected': -146.72210693359375, 'logps/chosen': -124.3847885131836, 'logits/rejected': -108.20245361328125, 'logits/chosen': -107.68851470947266, 'epoch': 0.92}
{'loss': 0.616, 'learning_rate': 0.0008941176470588236, 'rewards/chosen': -0.6040986180305481, 'rewards/rejected': -0.9840186238288879, 'rewards/accuracies': 0.6499999761581421, 'rewards/margins': 0.3799200654029846, 'logps/rejected': -173.88864135742188, 'logps/chosen': -116.70945739746094, 'logits/rejected': -108.41754150390625, 'logits/chosen': -107.66844177246094, 'epoch': 0.96}
{'loss': 0.716, 'learning_rate': 0.0008823529411764706, 'rewards/chosen': -0.7720960378646851, 'rewards/rejected': -1.1349923610687256, 'rewards/accuracies': 0.5, 'rewards/margins': 0.3628964424133301, 'logps/rejected': -156.50453186035156, 'logps/chosen': -128.46115112304688, 'logits/rejected': -107.03287506103516, 'logits/chosen': -105.93446350097656, 'epoch': 1.0}
{'loss': 0.5077, 'learning_rate': 0.0008705882352941177, 'rewards/chosen': -0.43676823377609253, 'rewards/rejected': -1.09609055519104, 'rewards/accuracies': 0.800000011920929, 'rewards/margins': 0.659322202205658, 'logps/rejected': -148.73770141601562, 'logps/chosen': -129.12217712402344, 'logits/rejected': -109.39112854003906, 'logits/chosen': -109.1229019165039, 'epoch': 1.04}
{'loss': 0.4751, 'learning_rate': 0.0008588235294117646, 'rewards/chosen': -0.32125693559646606, 'rewards/rejected': -1.1259896755218506, 'rewards/accuracies': 0.800000011920929, 'rewards/margins': 0.8047325015068054, 'logps/rejected': -167.53956604003906, 'logps/chosen': -122.3643569946289, 'logits/rejected': -107.51239013671875, 'logits/chosen': -105.19144439697266, 'epoch': 1.08}
{'loss': 0.354, 'learning_rate': 0.0008470588235294118, 'rewards/chosen': -0.8129739761352539, 'rewards/rejected': -2.333834171295166, 'rewards/accuracies': 0.8999999761581421, 'rewards/margins': 1.5208604335784912, 'logps/rejected': -200.94410705566406, 'logps/chosen': -112.38539123535156, 'logits/rejected': -110.58778381347656, 'logits/chosen': -108.86018371582031, 'epoch': 1.12}
{'loss': 0.4959, 'learning_rate': 0.0008352941176470589, 'rewards/chosen': -0.853320300579071, 'rewards/rejected': -1.7853519916534424, 'rewards/accuracies': 0.800000011920929, 'rewards/margins': 0.9320316314697266, 'logps/rejected': -163.82923889160156, 'logps/chosen': -124.01786041259766, 'logits/rejected': -106.89347076416016, 'logits/chosen': -105.32928466796875, 'epoch': 1.16}
{'loss': 0.4465, 'learning_rate': 0.0008235294117647058, 'rewards/chosen': -0.5755065679550171, 'rewards/rejected': -1.4084327220916748, 'rewards/accuracies': 0.824999988079071, 'rewards/margins': 0.8329261541366577, 'logps/rejected': -145.04962158203125, 'logps/chosen': -101.5369873046875, 'logits/rejected': -109.75858306884766, 'logits/chosen': -108.0367431640625, 'epoch': 1.2}
{'loss': 0.4533, 'learning_rate': 0.000811764705882353, 'rewards/chosen': -0.40021902322769165, 'rewards/rejected': -1.3656646013259888, 'rewards/accuracies': 0.75, 'rewards/margins': 0.9654456377029419, 'logps/rejected': -172.32395935058594, 'logps/chosen': -136.4185333251953, 'logits/rejected': -107.82183837890625, 'logits/chosen': -107.3004379272461, 'epoch': 1.24}
{'loss': 0.5352, 'learning_rate': 0.0008, 'rewards/chosen': -0.6253029704093933, 'rewards/rejected': -1.4826006889343262, 'rewards/accuracies': 0.75, 'rewards/margins': 0.8572977781295776, 'logps/rejected': -179.78054809570312, 'logps/chosen': -147.82351684570312, 'logits/rejected': -109.35420227050781, 'logits/chosen': -108.99969482421875, 'epoch': 1.28}
{'loss': 0.3825, 'learning_rate': 0.0007882352941176471, 'rewards/chosen': -0.5066168904304504, 'rewards/rejected': -1.8115384578704834, 'rewards/accuracies': 0.800000011920929, 'rewards/margins': 1.3049215078353882, 'logps/rejected': -183.56344604492188, 'logps/chosen': -110.85135650634766, 'logits/rejected': -109.58621978759766, 'logits/chosen': -107.61625671386719, 'epoch': 1.32}
{'loss': 0.5945, 'learning_rate': 0.0007764705882352942, 'rewards/chosen': -0.5607368350028992, 'rewards/rejected': -1.199857234954834, 'rewards/accuracies': 0.675000011920929, 'rewards/margins': 0.6391204595565796, 'logps/rejected': -138.95468139648438, 'logps/chosen': -129.9003143310547, 'logits/rejected': -107.51792907714844, 'logits/chosen': -107.9225082397461, 'epoch': 1.36}
{'loss': 0.4887, 'learning_rate': 0.0007647058823529411, 'rewards/chosen': -0.3726827800273895, 'rewards/rejected': -1.1519043445587158, 'rewards/accuracies': 0.675000011920929, 'rewards/margins': 0.7792214751243591, 'logps/rejected': -165.58837890625, 'logps/chosen': -111.080078125, 'logits/rejected': -109.90055084228516, 'logits/chosen': -108.59342956542969, 'epoch': 1.4}
{'loss': 0.5977, 'learning_rate': 0.0007529411764705883, 'rewards/chosen': -0.3100835084915161, 'rewards/rejected': -0.745024561882019, 'rewards/accuracies': 0.675000011920929, 'rewards/margins': 0.43494096398353577, 'logps/rejected': -132.9264373779297, 'logps/chosen': -114.33280944824219, 'logits/rejected': -110.12773132324219, 'logits/chosen': -110.17244720458984, 'epoch': 1.44}
{'loss': 0.4936, 'learning_rate': 0.0007411764705882353, 'rewards/chosen': -0.5322546362876892, 'rewards/rejected': -1.514488935470581, 'rewards/accuracies': 0.699999988079071, 'rewards/margins': 0.9822344779968262, 'logps/rejected': -167.4084014892578, 'logps/chosen': -105.39434814453125, 'logits/rejected': -109.44776916503906, 'logits/chosen': -108.38741302490234, 'epoch': 1.48}
{'loss': 0.6304, 'learning_rate': 0.0007294117647058823, 'rewards/chosen': -0.9786375761032104, 'rewards/rejected': -1.8277667760849, 'rewards/accuracies': 0.7250000238418579, 'rewards/margins': 0.8491291999816895, 'logps/rejected': -144.3838653564453, 'logps/chosen': -102.89859771728516, 'logits/rejected': -110.47944641113281, 'logits/chosen': -109.75868225097656, 'epoch': 1.52}
{'loss': 0.5558, 'learning_rate': 0.0007176470588235295, 'rewards/chosen': -0.5602930784225464, 'rewards/rejected': -1.1987379789352417, 'rewards/accuracies': 0.699999988079071, 'rewards/margins': 0.6384450197219849, 'logps/rejected': -133.76344299316406, 'logps/chosen': -127.44956970214844, 'logits/rejected': -109.17047119140625, 'logits/chosen': -109.38368225097656, 'epoch': 1.56}
{'loss': 0.4102, 'learning_rate': 0.0007058823529411765, 'rewards/chosen': 0.1700916439294815, 'rewards/rejected': -1.3734619617462158, 'rewards/accuracies': 0.875, 'rewards/margins': 1.5435535907745361, 'logps/rejected': -164.0594024658203, 'logps/chosen': -125.32440185546875, 'logits/rejected': -111.03904724121094, 'logits/chosen': -109.76786041259766, 'epoch': 1.6}
{'loss': 0.5094, 'learning_rate': 0.0006941176470588235, 'rewards/chosen': -0.20621207356452942, 'rewards/rejected': -0.8817434310913086, 'rewards/accuracies': 0.675000011920929, 'rewards/margins': 0.6755314469337463, 'logps/rejected': -147.01858520507812, 'logps/chosen': -95.90904235839844, 'logits/rejected': -109.9825439453125, 'logits/chosen': -109.74869537353516, 'epoch': 1.64}
{'loss': 0.3896, 'learning_rate': 0.0006823529411764706, 'rewards/chosen': -0.46295589208602905, 'rewards/rejected': -1.5034195184707642, 'rewards/accuracies': 0.8999999761581421, 'rewards/margins': 1.0404636859893799, 'logps/rejected': -160.14797973632812, 'logps/chosen': -125.2022476196289, 'logits/rejected': -106.32890319824219, 'logits/chosen': -104.84550476074219, 'epoch': 1.68}
{'loss': 0.484, 'learning_rate': 0.0006705882352941176, 'rewards/chosen': -0.8180755376815796, 'rewards/rejected': -1.7080657482147217, 'rewards/accuracies': 0.7250000238418579, 'rewards/margins': 0.8899903297424316, 'logps/rejected': -152.16970825195312, 'logps/chosen': -126.10467529296875, 'logits/rejected': -108.0014419555664, 'logits/chosen': -107.16483306884766, 'epoch': 1.72}
{'loss': 0.4772, 'learning_rate': 0.0006588235294117648, 'rewards/chosen': -0.5397351980209351, 'rewards/rejected': -1.4423890113830566, 'rewards/accuracies': 0.824999988079071, 'rewards/margins': 0.9026538133621216, 'logps/rejected': -152.7660675048828, 'logps/chosen': -144.48373413085938, 'logits/rejected': -108.67459869384766, 'logits/chosen': -109.41568756103516, 'epoch': 1.76}
{'loss': 0.4722, 'learning_rate': 0.0006470588235294118, 'rewards/chosen': -0.8465151786804199, 'rewards/rejected': -1.7932544946670532, 'rewards/accuracies': 0.675000011920929, 'rewards/margins': 0.9467393755912781, 'logps/rejected': -179.8509979248047, 'logps/chosen': -126.0079574584961, 'logits/rejected': -109.34122467041016, 'logits/chosen': -107.82856750488281, 'epoch': 1.8}
{'loss': 0.393, 'learning_rate': 0.0006352941176470588, 'rewards/chosen': -0.6845579743385315, 'rewards/rejected': -1.8142783641815186, 'rewards/accuracies': 0.7250000238418579, 'rewards/margins': 1.1297204494476318, 'logps/rejected': -158.45358276367188, 'logps/chosen': -123.96739196777344, 'logits/rejected': -106.388671875, 'logits/chosen': -105.37089538574219, 'epoch': 1.84}
{'loss': 0.4372, 'learning_rate': 0.0006235294117647059, 'rewards/chosen': -0.6900870203971863, 'rewards/rejected': -1.853528380393982, 'rewards/accuracies': 0.800000011920929, 'rewards/margins': 1.1634413003921509, 'logps/rejected': -157.75965881347656, 'logps/chosen': -121.27525329589844, 'logits/rejected': -108.42667388916016, 'logits/chosen': -107.9273910522461, 'epoch': 1.88}
{'loss': 0.3908, 'learning_rate': 0.000611764705882353, 'rewards/chosen': -0.6767548322677612, 'rewards/rejected': -1.8081918954849243, 'rewards/accuracies': 0.875, 'rewards/margins': 1.131437063217163, 'logps/rejected': -181.40428161621094, 'logps/chosen': -118.0761947631836, 'logits/rejected': -107.8252182006836, 'logits/chosen': -107.07597351074219, 'epoch': 1.92}
{'loss': 0.4208, 'learning_rate': 0.0006, 'rewards/chosen': -0.8015487790107727, 'rewards/rejected': -2.0250210762023926, 'rewards/accuracies': 0.824999988079071, 'rewards/margins': 1.2234724760055542, 'logps/rejected': -178.51565551757812, 'logps/chosen': -136.57711791992188, 'logits/rejected': -107.7806396484375, 'logits/chosen': -106.77693176269531, 'epoch': 1.96}
{'loss': 0.3796, 'learning_rate': 0.0005882352941176471, 'rewards/chosen': -0.5205460786819458, 'rewards/rejected': -1.8758790493011475, 'rewards/accuracies': 0.8999999761581421, 'rewards/margins': 1.3553330898284912, 'logps/rejected': -166.1295623779297, 'logps/chosen': -122.67774963378906, 'logits/rejected': -107.84580993652344, 'logits/chosen': -107.6904525756836, 'epoch': 2.0}
{'game_log': <wandb.data_types.Table object at 0x2ac2433c5890>, 'epoch': 2.0}
{'eval_loss': 0.6823573708534241, 'eval_runtime': 74.2197, 'eval_samples_per_second': 13.474, 'eval_steps_per_second': 1.684, 'eval_rewards/chosen': -0.8757060170173645, 'eval_rewards/rejected': -1.3135238885879517, 'eval_rewards/accuracies': 0.6299999952316284, 'eval_rewards/margins': 0.43781793117523193, 'eval_logps/rejected': -162.03744506835938, 'eval_logps/chosen': -128.97677612304688, 'eval_logits/rejected': -108.55772399902344, 'eval_logits/chosen': -108.2147216796875, 'epoch': 2.0}
{'loss': 0.2257, 'learning_rate': 0.0005764705882352941, 'rewards/chosen': -0.5661942362785339, 'rewards/rejected': -2.3575899600982666, 'rewards/accuracies': 0.9750000238418579, 'rewards/margins': 1.7913955450057983, 'logps/rejected': -168.17453002929688, 'logps/chosen': -107.5384750366211, 'logits/rejected': -110.10738372802734, 'logits/chosen': -108.60789489746094, 'epoch': 2.04}
{'loss': 0.3953, 'learning_rate': 0.0005647058823529411, 'rewards/chosen': -1.8967082500457764, 'rewards/rejected': -4.031909942626953, 'rewards/accuracies': 0.8999999761581421, 'rewards/margins': 2.135201930999756, 'logps/rejected': -192.12417602539062, 'logps/chosen': -143.45899963378906, 'logits/rejected': -113.54923248291016, 'logits/chosen': -113.25126647949219, 'epoch': 2.08}
{'loss': 0.1993, 'learning_rate': 0.0005529411764705883, 'rewards/chosen': -1.0455021858215332, 'rewards/rejected': -3.570950746536255, 'rewards/accuracies': 0.9750000238418579, 'rewards/margins': 2.5254480838775635, 'logps/rejected': -176.1436004638672, 'logps/chosen': -148.53892517089844, 'logits/rejected': -112.82466125488281, 'logits/chosen': -111.98016357421875, 'epoch': 2.12}
{'loss': 0.1722, 'learning_rate': 0.0005411764705882352, 'rewards/chosen': -1.071157693862915, 'rewards/rejected': -3.7581710815429688, 'rewards/accuracies': 0.9750000238418579, 'rewards/margins': 2.6870131492614746, 'logps/rejected': -190.0362548828125, 'logps/chosen': -114.932861328125, 'logits/rejected': -110.2052230834961, 'logits/chosen': -109.30970764160156, 'epoch': 2.16}
{'loss': 0.2456, 'learning_rate': 0.0005294117647058824, 'rewards/chosen': -1.5551345348358154, 'rewards/rejected': -4.775211334228516, 'rewards/accuracies': 0.925000011920929, 'rewards/margins': 3.220076322555542, 'logps/rejected': -186.65570068359375, 'logps/chosen': -119.4655990600586, 'logits/rejected': -114.04627990722656, 'logits/chosen': -113.4390869140625, 'epoch': 2.2}
{'loss': 0.3116, 'learning_rate': 0.0005176470588235295, 'rewards/chosen': -1.4642730951309204, 'rewards/rejected': -3.4503226280212402, 'rewards/accuracies': 0.875, 'rewards/margins': 1.9860494136810303, 'logps/rejected': -155.55328369140625, 'logps/chosen': -113.9931869506836, 'logits/rejected': -117.82945251464844, 'logits/chosen': -117.278564453125, 'epoch': 2.24}
{'loss': 0.3622, 'learning_rate': 0.0005058823529411764, 'rewards/chosen': -0.19859731197357178, 'rewards/rejected': -1.695965051651001, 'rewards/accuracies': 0.8999999761581421, 'rewards/margins': 1.4973676204681396, 'logps/rejected': -138.7064208984375, 'logps/chosen': -124.3126220703125, 'logits/rejected': -115.38765716552734, 'logits/chosen': -115.45767974853516, 'epoch': 2.28}
{'loss': 0.2614, 'learning_rate': 0.0004941176470588236, 'rewards/chosen': -0.10645341873168945, 'rewards/rejected': -1.8914191722869873, 'rewards/accuracies': 0.925000011920929, 'rewards/margins': 1.7849657535552979, 'logps/rejected': -173.78871154785156, 'logps/chosen': -131.3749237060547, 'logits/rejected': -112.71797180175781, 'logits/chosen': -112.6351089477539, 'epoch': 2.32}
{'loss': 0.2567, 'learning_rate': 0.0004823529411764706, 'rewards/chosen': -0.487321674823761, 'rewards/rejected': -2.5543272495269775, 'rewards/accuracies': 0.949999988079071, 'rewards/margins': 2.0670056343078613, 'logps/rejected': -201.3952178955078, 'logps/chosen': -118.15702819824219, 'logits/rejected': -112.46586608886719, 'logits/chosen': -110.8598861694336, 'epoch': 2.36}
{'loss': 0.2221, 'learning_rate': 0.00047058823529411766, 'rewards/chosen': -0.4768138825893402, 'rewards/rejected': -2.629676580429077, 'rewards/accuracies': 0.949999988079071, 'rewards/margins': 2.152863025665283, 'logps/rejected': -187.97708129882812, 'logps/chosen': -146.33468627929688, 'logits/rejected': -111.11151123046875, 'logits/chosen': -110.75638580322266, 'epoch': 2.4}
{'loss': 0.2869, 'learning_rate': 0.0004588235294117647, 'rewards/chosen': -0.8201500773429871, 'rewards/rejected': -2.698542356491089, 'rewards/accuracies': 0.8999999761581421, 'rewards/margins': 1.8783924579620361, 'logps/rejected': -160.7452392578125, 'logps/chosen': -94.94209289550781, 'logits/rejected': -114.14619445800781, 'logits/chosen': -113.3264389038086, 'epoch': 2.44}
{'loss': 0.2131, 'learning_rate': 0.0004470588235294118, 'rewards/chosen': -0.7819038033485413, 'rewards/rejected': -2.8523411750793457, 'rewards/accuracies': 0.949999988079071, 'rewards/margins': 2.070437431335449, 'logps/rejected': -151.57260131835938, 'logps/chosen': -107.53352355957031, 'logits/rejected': -111.427734375, 'logits/chosen': -110.69229888916016, 'epoch': 2.48}
{'loss': 0.1994, 'learning_rate': 0.00043529411764705884, 'rewards/chosen': -0.6791064143180847, 'rewards/rejected': -4.239823818206787, 'rewards/accuracies': 0.949999988079071, 'rewards/margins': 3.560717821121216, 'logps/rejected': -201.5984649658203, 'logps/chosen': -146.30294799804688, 'logits/rejected': -110.21186828613281, 'logits/chosen': -109.14619445800781, 'epoch': 2.52}
{'loss': 0.2, 'learning_rate': 0.0004235294117647059, 'rewards/chosen': -0.5320287942886353, 'rewards/rejected': -3.1491715908050537, 'rewards/accuracies': 0.925000011920929, 'rewards/margins': 2.617142915725708, 'logps/rejected': -244.6542510986328, 'logps/chosen': -127.12800598144531, 'logits/rejected': -110.5714340209961, 'logits/chosen': -107.772216796875, 'epoch': 2.56}
{'loss': 0.2455, 'learning_rate': 0.0004117647058823529, 'rewards/chosen': -0.6903945803642273, 'rewards/rejected': -2.534031391143799, 'rewards/accuracies': 0.9750000238418579, 'rewards/margins': 1.8436368703842163, 'logps/rejected': -131.0897216796875, 'logps/chosen': -135.85452270507812, 'logits/rejected': -108.8107681274414, 'logits/chosen': -108.811767578125, 'epoch': 2.6}
{'loss': 0.2169, 'learning_rate': 0.0004, 'rewards/chosen': -0.45690733194351196, 'rewards/rejected': -2.6715166568756104, 'rewards/accuracies': 0.925000011920929, 'rewards/margins': 2.214609146118164, 'logps/rejected': -163.23458862304688, 'logps/chosen': -130.27430725097656, 'logits/rejected': -108.2940444946289, 'logits/chosen': -107.86564636230469, 'epoch': 2.64}
{'loss': 0.1865, 'learning_rate': 0.0003882352941176471, 'rewards/chosen': -1.0542980432510376, 'rewards/rejected': -3.5107109546661377, 'rewards/accuracies': 0.949999988079071, 'rewards/margins': 2.4564127922058105, 'logps/rejected': -209.99267578125, 'logps/chosen': -132.3965606689453, 'logits/rejected': -111.1450424194336, 'logits/chosen': -110.40824127197266, 'epoch': 2.68}
{'loss': 0.2283, 'learning_rate': 0.00037647058823529414, 'rewards/chosen': -1.1798697710037231, 'rewards/rejected': -3.7899832725524902, 'rewards/accuracies': 0.875, 'rewards/margins': 2.6101138591766357, 'logps/rejected': -227.79348754882812, 'logps/chosen': -137.1231231689453, 'logits/rejected': -110.8463363647461, 'logits/chosen': -109.21052551269531, 'epoch': 2.72}
{'loss': 0.1912, 'learning_rate': 0.00036470588235294114, 'rewards/chosen': -0.7893337607383728, 'rewards/rejected': -3.4274940490722656, 'rewards/accuracies': 0.925000011920929, 'rewards/margins': 2.63815975189209, 'logps/rejected': -166.0884246826172, 'logps/chosen': -119.49530029296875, 'logits/rejected': -110.1166763305664, 'logits/chosen': -111.71107482910156, 'epoch': 2.76}
